anchor,positive,negative
¿cuánto mides?,¿empu'dun pichiapala?,¿enpu'dun chimiñina'?
eso es.,nana nuka'a,nuka'a nana
salgan.,yunsu'ku',musha'lli
ahora las mujeres se pintan sus caras.,ipa'la asu' shaya'lusa' inllinsellina' asu' ladanenna'.,kananna' nanasa' llikantullina' dei'tullina'.
obedecieron.,latektullina',uk'apilellina'
queremos ayudar.,yakatu'pa'llidek,taitula'u'kudek
me dispararon.,ilanñiner'ku,pillituwiñinerku'
tienes razón.,tekinchi nuka'a,lu'uktutek'ken ñiker
quédese ahí.,llia'ker nanek,ta'ituler' asek
¿estás lleno?,¿mer'su' ñapala?,¿kenmashasa' ñapala?
¡no llores!,¡yawellekta!,¡yatumu'ta!
tomás renunció.,chuma yunsu'lli,tomas inllipu'ite'lalli
tom llamó.,tom peklu'tulli,tom si'lentulli
tom gruñó.,tom mermiñi,tom peklu'tulli
sal fuera.,yunsuer' adipi,mapu'sina asek'
queremos saber.,yañinchitullidek,yakatu'pa'llidek
soy miope.,umilu'lada' nuka'ka,mulun nuka'ka
nos necesitas.,luantapalundek,luwantullidek
¡continúa!,¡tupiter'!,¡ta'ituler'!
soy huérfano.,suila nuka'ka,sadasu' nuka'ka
estaba solo.,kuashasa' ñapawinek,ñapawiñi kawik
dilo claramente.,tuker' tekinchiwalek,inlli'inuter' musuk
me salvó.,katu'palun,sapulek
me quedé.,lliya'lek',peklu'u
¡déjame salir!,¡ta'itula'u yunsue'chek!,¡yawichi'lek!
aunque había muerto hablaba:,chiminla'pi'n ima lunpalli:,arakayuler itudeklli:
estarás bien.,musu' ñape'chu,musu' sek'kaperechuner'ken
estoy leyendo.,lunpalek,lansa'palek
"algunos que obedecieron llevaron a sus hermanas, las llevaron a vender, y les dieron mucho dinero.","nu'unta' latekta'sui'ma ekpa'n sha'wan uku'latukun, enpu'nipa' kulliker enka'llina'.","papinkumapu'wa'ku' tanni'ma nana luyurka'su', luyullinerkenmu'wa', tanni'ma pa'llina'."
se adelantará.,ekte'chechu,ipia'la u'lenchu
se quemará.,uker'echu,yaku'aper'wana
trabajan mucho.,saka'tullina' nakusu',saka'tunakla usu'dekllina'
lo que ellos hablaron y nosotros escuchamos cuando éramos niños eso estamos contando.,nawa' lu'rnka'su' kudanta' laukta'kudeksu' wilakudek ñamudek lunpallidek.,"kenmu'wa' wapu'mu'wa', ma'ki'na asu' katu'shadapersa'."
¿sabes nadar?,¿ñinchitapala idun'ak?,¿kenmashasa' ñapala?
somos pobres.,kulliker'wi'ñidek,mumusu' ñapallidek
¿estás soltero?,¿inapiken ñapala?,¿yunsansu' ñapala?
puedo ayudarte.,yennitulek katu'pa'a'kik,yennitulek adanta'ak
sonríe.,yamer,yulek
tengo sueño.,yawichi'lek,yawerannek
tom sabe.,tom ñinchitapalli,tom lli'inutapalli
hice café.,wayusa' nu'tulek,kere'chek vinu'
tom cocinará.,tom akusute'chu,tom panwilek'techu
coge una.,maker' ala'sa',aku'ku' nanek
podemos ayudar.,yinnitullidek katu'pa'tak,yakatu'pa'llidek
"genial, ¿no?",u'chimuinchi ¿i'ya?,¿a'lek'tutek' nuka'a?
quiere venir.,ya'wencha'lli,pada'sa'tapalli
comimos huevos.,ka'llidek kadu',nu'tulekwa' waffles
sólo espera.,wa'tenker'la,wa'tentechu
¡genial!,¡u'chimu!,¡u'chimuinchi!
son grandes.,a'llupi nuker'ka,i'inlusa' nuker'ka
son increíbles.,latek'inpu'pilusa' nuker'ka,nuka'kawa taserpilusa'
¡intentémoslo!,¡intek'klieriwa'!,¡kana'tullidek!
¡no esperen!,¡yawa'tentutama!,¡yaindektama'!
los lagartos negros ahí están.,matutada ñapalli.,inluyupallina'pi'la ipa'la walek.
abrazame fuertemente.,wiperi'u ikersu',inlli'inuter' musuk
como quieras.,kenma luwanta'masu'pu'su',yennitula nu'ta'mak
te recuerdo.,lli'inutapallien,ñinchituwinek'
serás bienvenido.,musu' sek'kaperechuner'ken,kenma wichi'wina'
¿luzco bien?,¿llitapalek musu'?,¿yennitulek yunsu'ak?
mándemelos.,a'uktu'u,pinaner'ku'
venga conmigo.,wek'ker' kualek,musu' wintu'u
¡hipócrita!,¡katu'lada!,¡mupencha!
tenemos reglas.,a'ñapallidek la'la'lusa' latek'ak,a'ñapalekwa' da'lusa'
¡es maravilloso!,¡liatusu' nuka'a!,¡u'chimuinchi nuka'a!
desde ese entonces estamos viviendo así.,ipa'leklanlek nu'su' nanpipalekwa'.,a'ñapallidek dudimpu' nu'ta'kawa'su'
¿puedo comenzar?,¿yennitulek tenmiansu'ak?,¿yennitulek katupa'tak?
estoy trabajando.,saka'tapalek,mapa'tapalek
¡estoy feliz!,¡musu' nampipalek!,¡yawichi'lek!
tráemelo.,keritu'u,peklu'u
parece enfadada.,yupa'masu'pusu' lli'tula,yupa'masu'pu'su' lli'tula
estoy avergonzado.,ñapalek dakuta'su',inapilante'ñapalek
olvídenlo.,pinaner'ku',de'a'merker'
sonría.,yamerladaker',luyulek'
tom caminó.,tom dek'kuntulli,tom ektu'lli
cantaré.,tuluner'echek,itununta'u
son feos.,aper'pilusa' nuker'ka,wiuksu'lusa' nuker'ka
¿te dispararon?,¿ilañiner'ken?,¿te'kuawina?
"ahora nosotros, ahora este pueblo se ha dividido en dos: barrio bajo y barrio alto.","ipa'li'na' kenmu'wa', ipa' asu' ñinanlu' katu'ta' ñillin: chilen, winen.","nana malek imi'na, ala'sa' shaya' llillinen itullina' malallina,"
¿hablaste?,¿lun'na?,¿li'apala?
se desprecian hasta la actualidad.,inluyupallina'pi'la ipa'la walek.,"nu'su' ali'ladaper llipetchullina',"
diviértanse.,sakek'ku',pinaner'awa'
¿puedes dormir?,¿yennitula wichi'a'mak?,¿kenmashasa' ñapala?
dormí mucho.,nakusu' wichilek,nakusu' weranek
lo llevaré.,epa'echek,nu'techek
¿estás jodiendo?,¿a'pe'chapala?,¿saka'tapala?
tiene barba.,amu utek'wañi,pulunker'wanpalli
sobrevivimos.,chiminllinkekla nampipalekwa',chiminllinkekla nanpiterwa'
somos profesores.,a'lek'tutek'lusa' nuka'kawa',lulentutek nuka'kawa'
¿estás cansado?,¿saka'tusu' ñapala?,¿sakek'su' ñapala?
ella murió.,nana chimiñi,nana lunñi
soy guapa.,mulun nuka'ka,sadasu' nuka'ka
sigue practicando.,tupiter' inpalerian,teka'per'i'la
no saben pronunciar.,ninchipeklui'npu'la'pi'na'.,yennitulama' pa'a'mama'su'
¡qué pesado!,¡enpu'ni saka'dek'ipa'!,¡embu'ni mushipa'!
estaba mareado.,ñapawinek lupersu',inanpilatek ñapawinek
lo sentimos.,we'inutulidek,a'ñapallidek
somos primos.,yalli'walusa' nuka'kawa',enmu'pinen nuka'kudek
¿nos conoces?,¿luwer'chapalama'udek?,¿luwer'chapalama?
quiero bailar.,yalansa'lek,yayunsu'lek
fracasarás.,nu'chin'chu,lutanteninpu'ker'
lo hicimos.,nu'tulek'wa',a'ta'wantullidek
traigo noticias.,kera'pilellek la'la'lusa',lauk'apalek la'la'lusa'
preguntémosle.,lek'kawa',nu'tulek'wa'
empeora.,nu'la'lli,aper'lli
no mentí.,tumui'nek,ñinchichi'nek
estás triste.,we'inutusu' ñapala,yanu'tapala
míralo.,lli'ker',de'a'merker'
déjanos solos.,ta'itula'udek kudasa',dek'kuntapallidek' wapu'
tom desapareció.,tom wer'lli,tom na'pitulli
sigamos adelante.,tupi'wa' ekter'lupa',kuda ekpekchidek
¡qué horrible!,¡enpu'ni aperpipa'!,¡embu'ni mushipa'!
yo pagaré.,kua panwilek'te'chek',kua katu'patulek
¿estás perdido?,¿wer'su' ñapala?,¿kaluwipala?
soy responsable.,latek'tutek nuka'ka,wa'tentutek nuka'ka
estaba desarmado.,illiapalek'inpu ñapawinek,pulunker' ñapawiñi
me arriesgaré.,inpalerichek,dunker'echek
estoy calmado.,tuna'su' ñapalek,kaluwi'su' ñapalek
¡allá está!,¡nanek ñapalli!,¡pilli'ter' nanek!
arakayu les dijo:,arakayuler itudeklli:,naneklima itulli:
nadie murió.,ñiden chimii'ñi,ñiden tumui'ñi
me encantó.,luwantullien,luyullien
firme aquí.,linsercher' asek,mapu'sina asek'
está mojado.,wiwersu' ñapalli,pulunker'wanpalli
necesitamos más.,luwantullidek a'pinta',yinnitullidek katu'pa'tak
tenía miedo.,tekuawinek,yawichi'winek
¡déjame irme!,¡ta'itula'u pa'ak!,¡lunker' kualek!
voy a dormir,wichi'echek,yawelleklek
los llamaré.,peklue'chenma',lunku' lachek'ak
es imposible.,yiennichi'nek,yawencha'ta
¿eres feliz?,¿musu' ñapala?,¿sakek'su' ñapala?
ahora sientate.,ipa'la du'ker',yau'wa'tuta
dame eso.,enka'u nana,lanerku' asu'
somos serios.,ku'la yamerapiñidek,mumusu' ñapallidek
así era antes.,nu'su' ñiwiñi napi'.,asek uk'apilellina'
¡incendio!,¡ukeñan!,¡u'chimu!
¿puedo abrazarte?,¿yennitulek wiperi'a'kik?,¿yennitulek yunsu'ak?
déjame averiguarlo.,ta'itula'u lek'techek,ta'itula'u tekdiperechek
póntelo.,i'shi'ker',pinaner'ker'
necesitan dinero.,luwantullina' kulliker,kulliker' luwantullidek
"malallina es la que nos ha hecho reflexionar,","malallina nana nu'su' a'kankantullundek,",malallina nu'su' a'lli'tullundek.
estudia mucho.,ninchiter' wapu',llinsercher' kerka'lusa'
¿puedo tenerlo?,¿yennitulek a'ñak?,¿yennitulek katupa'tak?
tuve cuidado.,inlu'uktuwinek,tekua'dande'ku
estoy divorciada.,apu'pi nuka'ka,perwatendusu' ñapalek
lava todo.,pamuer' iñer',ninchiter' wapu'
tú empieza.,kenma tenmiansuer',kenma techu
estaba sudando.,ellia'pawinek,yawichi'winek
¡buen país!,¡u'chimu ñinalu'!,¡illiñi u'chimu!
sé serio.,yamercha,lu'uktutek'ken ñiker
vamos.,pa'a,da'awa'
avancemos.,pa'awa' ekter'lupa',teka'per'aterwa'
estamos intrigados.,lachek'insu' ñapallidek,wer'su' ñapallidek
vendo autos.,uku'latapalek wa'nateka'asu',luntulek kerka'lusa'
soy viejo.,taserpiku,apu'pi nuka'ka
somos minuciosos.,inlu'uk'tutek nuka'kawa',uki'latek ñapallidek
quédatelo.,lia'ker',dei'techen
soy doctor.,doktor nuka'ka,wa'tentutek nuka'ka
me desnudo.,inanpilechek,pinaner'u'ku
¿está lloviendo?,¿ulanpallincha?,¿neriapalli?
mantenganse juntos.,mumu'su' ñapaku',ñapaker' musu'kankantusu'
tom ronca.,tom tukulu'palli,tom malla'lli
es cruel.,mukankan'inpu' nuka'a,ñinchidinusu'nuka'a
actúa.,nu'ter',ekte'cher'
¿es gratis?,¿pa'chi'ñin'cha?,¿iñer'a'cha?
estás vieja.,tasellun ñapala,wichi'su' ñapala
ven solo.,wenller' kenmasa',paker' uti'la
salí.,yunsu'lek,sapulek
despertalo.,a'nambiker',wa'tentechu
¡entren!,¡daker'ku'!,¡paku'!
llamarán.,peklu'techuna',wenche'chuna'
volveré.,adenche'chek,enka'u
podemos ayudarlos.,yennitulek'wa' katu'pa'a'kawak,yinnitullidek katu'pa'tak
está vacío.,inantek' nuka'a,saka'dekimpu ñichu
tom sobrevivió.,tom chimillinkekla nampilli,tom deklli nerideknen
él envejeció.,nana taserpitulli,iñer' ta'wantulli
ven enseguida.,wek'ker' ipia'la,wenller' kenmasa'
he pecado.,aper'lek,lamapu'lek
fuimos robados.,ape'chuwiñiner'kudek,lupersu' ñapawiñidek
se acabó.,tekineklli,ta'wan'tulli
déjalos pelear.,ta'itula'dek'ku' idenmaina',musuk'i'la lli'inuper'
será fácil.,saka'dekimpu ñichu,saka'techu watensu'
está comiendo.,weranpalli,saka'tapalli
¡feliz navidad!,¡u'chimu ñiñuduker!,¡musu' paskua'!
fracasaremos.,teka'per'aterwa',ek'ker'chawa'
ella corre.,nana teka'lli,nana lata'lli
puedes nadar.,yennitula' idun'a'mak,yennitula pa'a'masu'
sigue cavando.,iwa'taper'i'la,dek'kuntaper'pi'la
la increpó.,yutulli,ilanñi
házmelo saber.,a'ñinchitu'u,ta'itula'u ata'wantak
camina lentamente.,dekunder' uti'la,wek'ker' ipia'la
alguien llamó.,denipa' peklu'tulli,muisu' kankatulli
¡necesito ayuda!,¡luwantulek katu'pa'!,¡yennitula nu'ta'mak!
ahí se pudrió.,nanek tawetchulli.,nana wer'lli
abrázame.,wiperi'u,llinser'chu'u
soy pobre.,kulliker'wi'nek,ku'aper nuka'ka
necesitaba dinero.,luwantuwinek kulliker',luwantullina' kulliker
¿puedo verlos?,¿yennitulek lli'dek'ak?,¿yennitulek ka'tan'an'su'?
bien poquito les daba de comer y les mandaba a sus casas.,"u'ñishima awerandeklli, a'panta'deklli pideknennek.","ali'la musu'nti'ma pa'lli nanalupa'pi'la, yaluwerkun. adencha'n nananta' luncha'lli."
"despiértate, tom.","nanpiladaker', tom",tom lli'inutechu
eres listo.,insekdiperpi nuka'ma,wichi'su' ñapala
hay que hacerles sembrar a estos indios.,a'teradek'awa' asu' kenma'lusa'.,papinkumapu'wa'ku'lusa' nana nu'llina'.
no llores.,yawellekta,yalli'tama
déjame terminar.,ta'itula'u ata'wantak,ta'itula'u pae'chek
¿contento?,¿musu'?,¿ekpa'ak?
todos los hombres deberían ser como malallina.,nana malallinapu'wa'su' ñillin iñer enmu'pinen.,nana usha'wañen muyunpa inchilala ekketcherka'su'.
necesito entrar.,yada'lek,innitulek indek'ak
soy egoísta.,kuakeksa' lli'inupalek,llinserchutek' nuka'ka
¿quién nadó?,¿den iduñi?,¿den chi'yeklli?
¿qué hay?,¿ma'nen ñapalli?,¿den a'cha?
terminamos.,a'ta'wantullidek,tu'nek'echidek
oí eso.,lauk'lek nana,enka'u nana
esa clase de nombres antes no hemos tenido.,tusu'sa' llillinlusa' napi' a'ñiwinekwa'.,papinkumapu'wa'ku'lusa' nana nu'llina'.
hablo español.,lunpalek español,lumpalek frances
¿cómo terminará?,¿ma'pu'su' ta'wantechu?,¿enpi'a'cha pa'ater?
estate preparado.,insek'dipersu' ñapaker',nantapitek' ñiker'
así nomás dice tenían sus nombres.,tula'si'ma llinlliwañina'.,nanek ima ñikuñi laweklateklusa'.
lo abofeteé.,patenchulek,iyatulek
tom gritó.,tom lamapu'lli,tom tumu'lli
parate,wanerker',nu'ter'
¡puedes hacerlo!,¡yennitula nu'ta'mak!,¡katu'lada!
estamos llorando.,welliek'apallidek,lansa'pallidek
métete adentro.,da'ker' kinekla,tupiter' inpalerian
quiero llorar.,yawelleklek,yawichi'lek
"nosotros antes desmotábamos el algodón, hilábamos, metíamos el hilo en el telar armándolo.","kenmu'wei'na' napi' anantulekwa', pitetchulekwa', kala'tulekwa'.","ta'ser lauktulek, asu' muyunpa inchilala malek, nu'unta' taketllina'."
qué raro.,empu'ni lli'inek,embu'ni iker'ipa'
llamaron.,peklu'tullina',lau'tullina'
¡no mientas!,¡yatumu'ta!,¡yaindektama'!
¿me ves?,¿li'apalu?,¿ekpa'ak?
estudio inglés.,alek'apalliner'ku ingles,lunpalek ingles
